page_id	source_id	order_key	printed_page	pdf_page	section	page_kind	pass1	pass2	source_oid
PG-TASAKI2020-0259	TASAKI2020	000259	247	259	§8.2.3	content	complete	complete	04cc0ac57ea29e8e8630c720f44de86940d70c0d
PG-TASAKI2020-0260	TASAKI2020	000260	248	260	§8.2.3	content	complete	complete	63f745acdf592dbd5ccca49992f0e95696eb4550
PG-TASAKI2020-0261	TASAKI2020	000261	249	261	§8.2.3	content	complete	complete	e5ca585b30fd1b4f3125f79905d8cb64cc067cc0
PG-TASAKI2020-0262	TASAKI2020	000262	250	262	§8.2.3	content	complete	complete	a6cf7c47c2a648e86eda989cea91a0bc078340be
PG-TASAKI2020-0263	TASAKI2020	000263	251	263	§8.2.3	content	complete	complete	379d7dc996dcaeadee5284727c7ad3d6eb7c34ed
PG-TASAKI2020-0264	TASAKI2020	000264	252	264	§8.3.1	content	complete	complete	61f72174aa59d14bba05ae2373aae7a2cda3f15c
PG-TASAKI2020-0265	TASAKI2020	000265	253	265	§8.3.1	content	complete	complete	268d2c98adc0cef63ff01bf65abc187a8e781776
PG-TASAKI2020-0266	TASAKI2020	000266	254	266	§8.3.1	content	complete	complete	faab95ce399e5ea4e0558b720305e4730eb1418f
PG-TASAKI2020-0267	TASAKI2020	000267	255	267	§8.3.2	content	complete	complete	874df2303c8fdd44588a8547f6650c70b2dea676
PG-TASAKI2020-0268	TASAKI2020	000268	256	268	§8.3.2	content	complete	complete	9e256a727616862e32af533c7382b4374735ba55
PG-TASAKI2020-0269	TASAKI2020	000269	257	269	§8.3.2	content	complete	complete	690d2897b5c0de4f0607898b475f65fa4c279d07
PG-TASAKI2020-0270	TASAKI2020	000270	258	270	§8.3.2	content	complete	complete	a108ac7b44231767514c2134f445326a0f2f1f8b
PG-TASAKI2020-0271	TASAKI2020	000271	259	271	§8.3.2	content	complete	complete	f30bd0851d85d2c90cb3662dace1435765660d16
PG-TASAKI2020-0272	TASAKI2020	000272	260	272	§8.3.2	content	complete	complete	851eea2cf0053daca98742f731580d80430b78ad
PG-TASAKI2020-0273	TASAKI2020	000273	261	273	§8.3.3	content	complete	complete	c75c2ff4adfc20974e13ee225977dc0c848ed6a1
PG-TASAKI2020-0274	TASAKI2020	000274	262	274	§8.3.3	content	complete	complete	d946a18567775bf38339cd224de9f46077c2d083
PG-TASAKI2020-0275	TASAKI2020	000275	263	275	§8.3.3	content	complete	complete	5b5847f8695ba4d51c8bc352a48ffb5d296fc372
PG-TASAKI2020-0276	TASAKI2020	000276	264	276	§8.3.4	content	complete	complete	5c964f34bf1d038c05ca974380e05b76672a03e3
PG-TASAKI2020-0277	TASAKI2020	000277	265	277	§8.3.4	content	complete	complete	0fd9099c9cb6cf3d39c44a1b70f706115fdb40f9
PG-TASAKI2020-0278	TASAKI2020	000278	266	278	§8.3.4	content	complete	complete	4bdd3733d5744b87d6247bc4f07013840157e55c
PG-TASAKI2020-0279	TASAKI2020	000279	267	279	§8.3.4	content	complete	complete	cbbfecd588f1ad640d7a52fe62ac5bc13b5a78db
PG-TASAKI2020-0280	TASAKI2020	000280	268	280	§8.3.4	content	complete	complete	0275cd615fbc38e41a0c5d7428a1d8630b330ce7
PG-TASAKI2020-0281	TASAKI2020	000281	269	281	§8.3.4	content	complete	complete	dd046f1a74857d3e2c022bb97bf8d63c6fc04940
PG-TASAKI2020-0282	TASAKI2020	000282	270	282	§8.3.4	content	complete	complete	7911be936723925aa6a3c5a131f753202b670055
PG-TASAKI2020-0283	TASAKI2020	000283	271	283	§8.3.4	content	complete	complete	a0ab7e28f8ea2d8f4dc285b88d5b5042c76b3e81
